TIME,GLOBAL,POLAR (N),POLAR (S),MID-LATITUDES (N),MID-LATITUDES (S),HIGH-LATITUDES (N),HIGH-LATITUDES (S),TROPICS
1981-12-09,-0.17346469,-0.005696655,-0.003691967,-0.039272446,-0.03153319,-0.0058627315,-0.016917784,-0.07048989
1981-12-10,-0.17616369,-0.005826964,-0.0038914692,-0.03687501,-0.04180866,-0.0066234786,-0.011139684,-0.06999845
1981-12-11,-0.1825638,-0.0057094274,-0.0044068205,-0.0321156,-0.044610374,-0.0063035074,-0.012195893,-0.077222206
1981-12-12,-0.18502328,-0.005368636,-0.0048526227,-0.02732575,-0.047253355,-0.0056888517,-0.012540436,-0.081993654
1981-12-13,-0.18260548,-0.0049857013,-0.005338116,-0.022559391,-0.0543065,-0.0051654843,-0.011216227,-0.07903412
1981-12-14,-0.17519137,-0.0049192123,-0.0052450243,-0.023780808,-0.04961595,-0.004168401,-0.008081459,-0.07938051
1981-12-15,-0.16812204,-0.005136615,-0.00511061,-0.026977569,-0.045242146,-0.003906187,-0.005964156,-0.07578475
1981-12-16,-0.1603146,-0.005319097,-0.0051414464,-0.025782323,-0.04239361,-0.0045338,-0.008036378,-0.06910796
1981-12-17,-0.15649743,-0.0057039293,-0.005050106,-0.025125874,-0.038149208,-0.005365068,-0.010898407,-0.066204876
1981-12-18,-0.16247384,-0.005834656,-0.0054065357,-0.026570184,-0.036310468,-0.0060338657,-0.013147201,-0.06917098
1981-12-19,-0.15608102,-0.0057435627,-0.0062872847,-0.030701738,-0.03380643,-0.00622527,-0.015719049,-0.057597686
1981-12-20,-0.17581692,-0.0058620805,-0.00680979,-0.037930172,-0.044268966,-0.0066288053,-0.019650444,-0.05466667
1981-12-21,-0.17214942,-0.0053748465,-0.007122072,-0.041777514,-0.03949421,-0.006825854,-0.020231543,-0.051323462
1981-12-22,-0.16125463,-0.0052032378,-0.0070906854,-0.045310404,-0.032631546,-0.006144877,-0.020100541,-0.04477334
1981-12-23,-0.13990353,-0.005140529,-0.007089627,-0.044908136,-0.01886943,-0.0064012203,-0.019791318,-0.03770326
1981-12-24,-0.13628551,-0.0048964047,-0.0070350096,-0.045488227,-0.011700888,-0.0070252726,-0.023663793,-0.03647592
1981-12-25,-0.1486832,-0.0048399637,-0.006773111,-0.046410475,-0.01364599,-0.0068528024,-0.02757551,-0.042585332
1981-12-26,-0.15360269,-0.0049211923,-0.0074403123,-0.045690563,-0.016015051,-0.0065273223,-0.02945697,-0.043551236
1981-12-27,-0.15384297,-0.005523085,-0.0077940756,-0.045073025,-0.018798301,-0.0071786414,-0.028690325,-0.040785514
1981-12-28,-0.1633313,-0.005745757,-0.007948976,-0.04402465,-0.027801825,-0.007747776,-0.032079373,-0.037983
1981-12-29,-0.17323267,-0.0051697204,-0.007910245,-0.04253052,-0.04341069,-0.007093579,-0.034352444,-0.032765526
1981-12-30,-0.17219675,-0.0049328143,-0.007725186,-0.042603713,-0.045394916,-0.007088775,-0.0346416,-0.029809758
1981-12-31,-0.16221982,-0.0052320077,-0.007250182,-0.04555867,-0.038844272,-0.006766887,-0.035676043,-0.022891741
1982-01-01,-0.13380854,-0.006254037,-0.0070364345,-0.04331611,-0.024266133,-0.0070141824,-0.03153289,-0.014388786
1982-01-02,-0.104216434,-0.006534929,-0.006884266,-0.036182873,-0.01003706,-0.006728403,-0.024355508,-0.013493394
1982-01-03,-0.09726284,-0.0067142453,-0.0072805523,-0.031967636,-0.0063000433,-0.0073804487,-0.01856265,-0.019057216
1982-01-04,-0.10743833,-0.006758128,-0.007359756,-0.033057988,-0.006170944,-0.00882976,-0.020875277,-0.024386488
1982-01-05,-0.11926335,-0.0064833947,-0.007858574,-0.037638973,-0.0029196085,-0.009365687,-0.023629175,-0.031367898
1982-01-06,-0.12028953,-0.0063953,-0.008150204,-0.043440994,0.0050612157,-0.0098036565,-0.020869935,-0.036690656
1982-01-07,-0.13578042,-0.0063196,-0.008747701,-0.045677274,-0.002632497,-0.010000897,-0.018862557,-0.043539852
1982-01-08,-0.13409822,-0.006756722,-0.008964387,-0.045016736,-0.00097008975,-0.009618769,-0.018380698,-0.0443908
1982-01-09,-0.14568214,-0.0068249395,-0.00873705,-0.04390548,-0.008689635,-0.008499518,-0.016740533,-0.052284956
1982-01-10,-0.1475326,-0.0066572907,-0.007990962,-0.041375585,-0.012234875,-0.0077193277,-0.016503213,-0.05505131
1982-01-11,-0.14237368,-0.0068320823,-0.0068553695,-0.03968674,-0.015800456,-0.007133039,-0.011716941,-0.05434904
1982-01-12,-0.149386,-0.0060519665,-0.006987123,-0.043752167,-0.017068164,-0.007073891,-0.0067709526,-0.061681688
1982-01-13,-0.14328957,-0.0058312565,-0.006844834,-0.047275692,-0.007732114,-0.007945149,-0.0015112512,-0.06614922
1982-01-14,-0.13814563,-0.0060486197,-0.006962779,-0.047261775,0.0017843457,-0.008672697,0.00031002532,-0.07129412
1982-01-15,-0.13612643,-0.0058079944,-0.0077422867,-0.044376288,0.00085213775,-0.0066518914,0.0015592637,-0.073959336
1982-01-16,-0.13381352,-0.0057177856,-0.0073912623,-0.043631826,0.002141526,-0.0053135557,-0.00021225323,-0.07368835
1982-01-17,-0.13648449,-0.005332098,-0.0066873487,-0.045911577,0.0050881086,-0.005082892,-0.0024146687,-0.076144025
1982-01-18,-0.14609978,-0.005545927,-0.006752914,-0.046129134,-3.261088e-05,-0.005116181,-0.0030549436,-0.07946807
1982-01-19,-0.16288264,-0.0050517903,-0.007525581,-0.0437491,-0.00944133,-0.003686101,-0.0038350138,-0.08959371
1982-01-20,-0.1683928,-0.0044145696,-0.00874526,-0.040748846,-0.014098452,-0.0045322618,-0.004060203,-0.09179327
1982-01-21,-0.17817077,-0.0043623913,-0.008847209,-0.041411314,-0.020713188,-0.004150489,-0.004951752,-0.09373439
1982-01-22,-0.19534825,-0.0042624357,-0.008144636,-0.0426055,-0.03574252,-0.0036632675,-0.0032546963,-0.09767522
1982-01-23,-0.20841287,-0.004319828,-0.007943563,-0.04945575,-0.042226754,-0.0035820585,-0.007086038,-0.09379885
1982-01-24,-0.22690189,-0.0045415335,-0.0076330616,-0.056099802,-0.05075793,-0.003613239,-0.010656462,-0.093599856
1982-01-25,-0.22895636,-0.0049625128,-0.0072380053,-0.057186276,-0.05005549,-0.0024154417,-0.011148287,-0.09595034
1982-01-26,-0.23215617,-0.005138683,-0.006966801,-0.056551807,-0.051490672,-0.0016970149,-0.011468205,-0.09884298
1982-01-27,-0.23364891,-0.00529109,-0.0065939394,-0.05478762,-0.052563097,-0.001967119,-0.012928815,-0.09951717
1982-01-28,-0.23346151,-0.005741071,-0.0071401955,-0.050458405,-0.056290235,-0.0023053507,-0.008949961,-0.102576345
1982-01-29,-0.23185684,-0.006211032,-0.0076245717,-0.05384022,-0.051142935,-0.0026661374,-0.001930382,-0.10844153
1982-01-30,-0.23668371,-0.006445523,-0.007791989,-0.056431655,-0.04870369,-0.0030542999,0.00080112857,-0.11505768
1982-01-31,-0.23524815,-0.006349165,-0.0076831374,-0.05828606,-0.04766395,-0.0031285305,0.0029231105,-0.11506032
1982-02-01,-0.22112678,-0.0062526567,-0.0073370375,-0.059375685,-0.048778735,-0.004037191,0.0066696084,-0.10201506
1982-02-02,-0.2130835,-0.0061075147,-0.00744667,-0.0518512,-0.06114553,-0.0033136809,0.007939632,-0.09115851
1982-02-03,-0.2137179,-0.0061984044,-0.007534967,-0.045904387,-0.06900618,-0.0034175168,0.0067066657,-0.088363096
1982-02-04,-0.20614871,-0.0063246894,-0.0075832712,-0.041438445,-0.06982712,-0.003066217,0.008307718,-0.08621671
1982-02-05,-0.20537816,-0.005817979,-0.007847154,-0.04206463,-0.07139611,-0.0022804698,0.009995424,-0.085967205
1982-02-06,-0.21460259,-0.004434837,-0.008374715,-0.04729431,-0.076420866,-0.0013962743,0.008247406,-0.08492903
1982-02-07,-0.21988112,-0.0033578381,-0.008869482,-0.048903674,-0.079898946,-0.0013299548,0.0059965355,-0.08351767
1982-02-08,-0.21139129,-0.0029986207,-0.00963194,-0.04321545,-0.07018248,-0.0018008101,0.0017467554,-0.0853087
1982-02-09,-0.20110556,-0.002571475,-0.010136968,-0.0416965,-0.058162257,-0.0015558593,-0.001345079,-0.085637435
1982-02-10,-0.20574187,-0.0023423962,-0.009682642,-0.03882787,-0.058215275,-0.0012124046,-0.0043945895,-0.09106676
1982-02-11,-0.22253646,-0.0024924707,-0.009312833,-0.03797684,-0.07083063,-0.0014425166,-0.005914507,-0.09456661
1982-02-12,-0.23632072,-0.0024857037,-0.009758523,-0.0349685,-0.078892075,-0.0019856102,-0.0062179673,-0.102012314
1982-02-13,-0.24915586,-0.002350231,-0.011147653,-0.032293446,-0.08085507,-0.002306818,-0.0075558554,-0.11264679
1982-02-14,-0.2670017,-0.002586338,-0.0117306765,-0.031805344,-0.088604294,-0.0026979214,-0.011241667,-0.11833545
1982-02-15,-0.2886589,-0.002832753,-0.012608775,-0.03105258,-0.09875999,-0.0033582042,-0.01649228,-0.123554245
1982-02-16,-0.290689,-0.0031090502,-0.012478537,-0.031606644,-0.09777775,-0.0046688244,-0.022168238,-0.118879855
1982-02-17,-0.26952717,-0.0038018585,-0.012192892,-0.033727486,-0.090583645,-0.0049488074,-0.019950956,-0.10432151
1982-02-18,-0.25254318,-0.004640208,-0.010883635,-0.03633685,-0.09377642,-0.0053378916,-0.014262845,-0.08730527
1982-02-19,-0.24281107,-0.004639033,-0.010335209,-0.035300206,-0.10886519,-0.0051416256,-0.009995622,-0.068534225
1982-02-20,-0.24102864,-0.0046970723,-0.010121618,-0.038064398,-0.11409545,-0.0046246024,-0.0100696,-0.05935583
1982-02-21,-0.24628346,-0.004317006,-0.0096442085,-0.043981567,-0.10761946,-0.0043443823,-0.011748961,-0.0646279
1982-02-22,-0.25162086,-0.003198531,-0.009264619,-0.053219523,-0.09010247,-0.003412772,-0.012526433,-0.07989654
1982-02-23,-0.26454234,-0.003258681,-0.009106449,-0.06199836,-0.0776057,-0.0031068793,-0.013799564,-0.0956667
1982-02-24,-0.26621073,-0.0034331009,-0.008611153,-0.0614665,-0.07050436,-0.0022040182,-0.01484875,-0.10514284
1982-02-25,-0.26518732,-0.00398553,-0.008845204,-0.058117557,-0.06785211,-0.0010177722,-0.01612435,-0.109244674
1982-02-26,-0.26895082,-0.0041502337,-0.008808687,-0.056155242,-0.075293325,-0.000555771,-0.015892513,-0.10809504
1982-02-27,-0.28408876,-0.004403063,-0.00856523,-0.057296436,-0.08022116,-0.0014559162,-0.013750721,-0.11839633
1982-02-28,-0.27051023,-0.004137431,-0.008239098,-0.052126937,-0.076121226,-0.0007769719,-0.011355441,-0.117753066
1982-03-01,-0.24355459,-0.003889075,-0.007987927,-0.046409693,-0.070341684,0.00010159444,-0.00636432,-0.10866351
1982-03-02,-0.22661228,-0.003378143,-0.00807352,-0.041820172,-0.06787357,0.00037717744,-0.0059224926,-0.09992155
1982-03-03,-0.22246076,-0.0028118875,-0.0086758025,-0.04219558,-0.069083884,5.5134944e-05,-0.009290649,-0.0904581
1982-03-04,-0.22387041,-0.0026253622,-0.008516385,-0.04453882,-0.067442104,-0.00028931434,-0.013257827,-0.08720055
1982-03-05,-0.24038522,-0.003003816,-0.008596127,-0.0492146,-0.07096394,-0.0009521174,-0.015706891,-0.091947705
1982-03-06,-0.25041047,-0.0031359035,-0.009082827,-0.050830178,-0.07186511,-0.00042167705,-0.015701225,-0.09937352
1982-03-07,-0.24284329,-0.0030218663,-0.009225604,-0.051678415,-0.071140684,0.00022733762,-0.016601749,-0.091402285
1982-03-08,-0.24392922,-0.0029012973,-0.00931035,-0.05671958,-0.067056015,0.0013586456,-0.017455908,-0.091844775
1982-03-09,-0.2537652,-0.0030305425,-0.009502277,-0.052046716,-0.067840494,0.0012756609,-0.017180258,-0.10544055
1982-03-10,-0.25661796,-0.003166331,-0.009929867,-0.04498555,-0.07388898,0.00044972892,-0.017181264,-0.10791565
1982-03-11,-0.23640615,-0.0030315677,-0.010271557,-0.034374,-0.071582496,-0.000528814,-0.017808674,-0.098809026
